,Voltage(V), Voltage from Resistor(V), Resistor Resistance (Ω),Current (A),Resistance (Ω),Power(Watts),Resistivity (Ωm),Temperature(K),Resistivity in μΩcm
0,1.501,0.53,6.5,0.08153846153846155,18.408490566037734,0.12238923076923078,1.0957434860736747e-07,509.5127998714242,10.957434860736747
1,3.002,0.855,6.5,0.13153846153846155,22.82222222222222,0.39487846153846157,1.3584656084656084e-07,613.0282145254564,13.584656084656084
2,4.5,1.047,6.5,0.16107692307692306,27.936962750716337,0.7248461538461538,1.662914449447401e-07,732.984416645942,16.62914449447401
3,6.0,1.178,6.5,0.18123076923076922,33.106960950764005,1.0873846153846152,1.9706524375454765e-07,854.2365790171302,19.706524375454766
4,7.5,1.2819999999999998,6.5,0.1972307692307692,38.02652106084244,1.4792307692307693,2.2634833964787167e-07,969.6152074384228,22.634833964787166
5,9.0,1.375,6.5,0.21153846153846154,42.54545454545455,1.903846153846154,2.5324675324675324e-07,1075.5979245340948,25.324675324675322
6,10.5,1.4609999999999999,6.5,0.22476923076923075,46.71457905544148,2.3600769230769227,2.7806297056810406e-07,1173.3765585819701,27.806297056810408
7,12.0,1.545,6.5,0.23769230769230767,50.48543689320389,2.852307692307692,3.0050855293573744e-07,1261.814629376428,30.050855293573743
8,13.5,1.625,6.5,0.25,54.0,3.375,3.2142857142857145e-07,1344.241810199257,32.142857142857146
9,15.0,1.704,6.5,0.2621538461538461,57.218309859154935,3.9323076923076914,3.4058517773306507e-07,1419.7209524549448,34.058517773306505
10,16.5,1.781,6.5,0.27399999999999997,60.21897810218979,4.520999999999999,3.5844629822732014e-07,1490.095737696297,35.84462982273202
11,18.0,1.857,6.5,0.2856923076923077,63.004846526655896,5.142461538461538,3.750288483729518e-07,1555.432814708242,37.50288483729518
12,19.5,1.93,6.5,0.2969230769230769,65.67357512953369,5.79,3.909141376757958e-07,1618.0226070756335,39.09141376757958
13,21.0,2.003,6.5,0.30815384615384617,68.14777833250125,6.47123076923077,4.0564153769345983e-07,1676.0501879174935,40.564153769345985
14,22.5,2.073,6.5,0.3189230769230769,70.54992764109986,7.17576923076923,4.1994004548273725e-07,1732.3878860627942,41.99400454827372
15,24.0,2.141,6.5,0.3293846153846154,72.86314806165343,7.905230769230769,4.33709214652699e-07,1786.63993164972,43.3709214652699
16,25.5,2.209,6.5,0.33984615384615385,75.03395201448619,8.666076923076924,4.46630666752894e-07,1837.551878458999,44.6630666752894
17,27.0,2.276,6.5,0.35015384615384615,77.10896309314587,9.454153846153845,4.5898192317348737e-07,1886.2171913848988,45.89819231734874
18,28.5,2.342,6.5,0.36030769230769233,79.09906063193851,10.268769230769232,4.7082774185677684e-07,1932.891023864369,47.082774185677685
19,30.0,2.407,6.5,0.37030769230769234,81.01371001246365,11.10923076923077,4.822244643599026e-07,1977.7953678483163,48.222446435990264
20,31.5,2.471,6.5,0.3801538461538462,82.86118980169971,11.974846153846155,4.932213678672602e-07,2021.1243808796694,49.32213678672602
21,33.0,2.533,6.5,0.38969230769230767,84.68219502566127,12.859846153846153,5.040606846765551e-07,2063.8324849352052,50.406068467655516
22,34.5,2.595,6.5,0.3992307692307693,86.41618497109826,13.773461538461541,5.143820533993944e-07,2104.4998163884725,51.43820533993944
23,36.0,2.656,6.5,0.40861538461538466,88.1024096385542,14.710153846153847,5.244191049913941e-07,2144.046906979488,52.44191049913941
24,37.5,2.716,6.5,0.41784615384615387,89.74594992636229,15.669230769230767,5.342020828950136e-07,2182.5929192080916,53.42020828950136
25,39.0,2.775,6.5,0.4269230769230769,91.35135135135135,16.65,5.437580437580438e-07,2220.2444592515517,54.37580437580438
26,40.5,2.833,6.5,0.4358461538461539,92.92269678785739,17.651769230769233,5.531112904039131e-07,2257.0972829153393,55.31112904039131
27,42.0,2.891,6.5,0.44476923076923075,94.43099273607749,18.68030769230769,5.620892424766517e-07,2292.4714045573355,56.20892424766517
28,43.5,2.946,6.5,0.45323076923076927,95.97759674134419,19.715538461538465,5.712952186984773e-07,2328.743966503063,57.12952186984773
29,45.0,3.0010000000000003,6.5,0.46169230769230774,97.46751082972342,20.77615384615385,5.801637549388299e-07,2363.6869776943654,58.01637549388299
30,46.5,3.0580000000000003,6.5,0.4704615384615385,98.839110529758,21.876461538461538,5.883280388676072e-07,2395.855157082771,58.832803886760715
31,48.0,3.114,6.5,0.47907692307692307,100.1926782273603,22.995692307692305,5.963849894485733e-07,2427.6004312394534,59.638498944857325
32,49.5,3.167,6.5,0.4872307692307692,101.59456899273762,24.117923076923077,6.047295773377239e-07,2460.4790281234195,60.4729577337724
33,51.0,3.218,6.5,0.4950769230769231,103.01429459291485,25.248923076923077,6.131803249578264e-07,2493.775906059206,61.318032495782646
34,52.5,3.2689999999999997,6.5,0.5029230769230769,104.38972162740899,26.40346153846154,6.213673906393392e-07,2526.0338480667424,62.136739063933916
35,54.0,3.322,6.5,0.5110769230769231,105.65924142083082,27.598153846153846,6.289240560763739e-07,2555.807943563333,62.89240560763739
36,55.5,3.3739999999999997,6.5,0.519076923076923,106.92056905749854,28.808769230769226,6.364319586755865e-07,2585.389908099238,63.64319586755865
37,57.0,3.4219999999999997,6.5,0.5264615384615384,108.27001753360608,30.00830769230769,6.444643900809886e-07,2617.038573999167,64.44643900809885
38,58.5,3.4730000000000003,6.5,0.5343076923076924,109.48747480564353,31.257,6.51711159557402e-07,2645.59164522223,65.17111595574019
39,60.0,3.5239999999999996,6.5,0.5421538461538461,110.66969353007947,32.529230769230765,6.587481757742825e-07,2673.318265462106,65.87481757742826
40,61.5,3.57,6.5,0.5492307692307692,111.9747899159664,33.777692307692305,6.665166066426571e-07,2703.9267401207926,66.6516606642657
41,63.0,3.6189999999999998,6.5,0.5567692307692307,113.15280464216636,35.07646153846153,6.73528599060514e-07,2731.5547638318126,67.3528599060514
42,64.5,3.667,6.5,0.5641538461538461,114.33051540769021,36.38792307692307,6.805387821886322e-07,2759.1756587416553,68.05387821886322
43,66.0,3.715,6.5,0.5715384615384616,115.47779273216689,37.721538461538465,6.873678138819457e-07,2786.0827970131827,68.73678138819457
44,67.5,3.761,6.5,0.5786153846153846,116.65780377559159,39.05653846153846,6.943916891404261e-07,2813.757640427211,69.43916891404261
45,69.0,3.8080000000000003,6.5,0.5858461538461539,117.7783613445378,40.42338461538462,7.010616746698679e-07,2840.038119266619,70.10616746698679
46,70.5,3.852,6.5,0.5926153846153845,118.96417445482868,41.779384615384615,7.08120086040647e-07,2867.8490387732345,70.8120086040647
47,73.0,3.93,6.5,0.6046153846153847,120.73791348600508,44.13692307692308,7.18678056464316e-07,2909.4486070304015,71.86780564643159
48,74.5,3.9739999999999998,6.5,0.6113846153846153,121.85455460493208,45.54815384615384,7.253247297912624e-07,2935.637233220104,72.53247297912624
49,76.0,4.018,6.5,0.6181538461538462,122.94673967147834,46.97969230769231,7.318258313778472e-07,2961.2522906928575,73.18258313778472
50,77.5,4.063,6.5,0.6250769230769231,123.9847403396505,48.44346153846154,7.38004406783634e-07,2985.596559431182,73.8004406783634
51,79.0,4.11,6.5,0.6323076923076923,124.93917274939172,49.95230769230769,7.436855520797125e-07,3007.9808986592298,74.36855520797126
52,80.5,4.15,6.5,0.6384615384615385,126.08433734939757,51.39615384615385,7.505020080321284e-07,3034.8384871242256,75.05020080321285
53,83.0,4.22,6.5,0.6492307692307692,127.84360189573461,53.88615384615384,7.609738208079441e-07,3076.0985847436723,76.0973820807944
54,84.5,4.26,6.5,0.6553846153846153,128.93192488262912,55.379999999999995,7.674519338251733e-07,3101.623064716995,76.74519338251733
55,86.0,4.31,6.5,0.663076923076923,129.6983758700696,57.02461538461538,7.720141420837477e-07,3119.5986685726857,77.20141420837477
56,87.5,4.35,6.5,0.6692307692307692,130.74712643678163,58.55769230769231,7.782567049808431e-07,3144.1950550860643,77.8256704980843
57,89.0,4.39,6.5,0.6753846153846154,131.7767653758542,60.10923076923076,7.843855081896084e-07,3168.343215877102,78.43855081896085
58,90.5,4.43,6.5,0.6815384615384615,132.78781038374717,61.67923076923076,7.904036332365903e-07,3192.055292500356,79.04036332365904
59,92.0,4.47,6.5,0.6876923076923076,133.78076062639823,63.2676923076923,7.963140513476085e-07,3215.3429919133514,79.63140513476085
60,93.5,4.51,6.5,0.6938461538461538,134.75609756097563,64.87461538461538,8.021196283391406e-07,3238.217605749175,80.21196283391406
61,95.0,4.55,6.5,0.7,135.71428571428572,66.5,8.078231292517008e-07,3260.690028572501,80.78231292517007
62,96.5,4.59,6.5,0.7061538461538461,136.6557734204793,68.14384615384616,8.134272227409483e-07,3282.7707751810412,81.34272227409483
63,98.0,4.63,6.5,0.7123076923076923,137.58099352051835,69.80615384615383,8.189344852411806e-07,3304.469997010168,81.89344852411806
64,99.5,4.67,6.5,0.7184615384615385,138.49036402569592,71.48692307692308,8.243474049148567e-07,3325.797497694471,82.43474049148567
65,101.0,4.71,6.5,0.7246153846153847,139.38428874734606,73.18615384615386,8.296683854008694e-07,3346.762747836365,82.96683854008694
66,102.5,4.75,6.5,0.7307692307692307,140.26315789473685,74.90384615384615,8.348997493734336e-07,3367.374899028501,83.48997493734336
67,104.0,4.79,6.5,0.7369230769230769,141.12734864300626,76.63999999999999,8.400437419226563e-07,3387.6427971735866,84.00437419226563
68,105.5,4.82,6.5,0.7415384615384616,142.27178423236512,78.23230769230769,8.468558585259829e-07,3414.48328812444,84.68558585259828
69,107.0,4.86,6.5,0.7476923076923078,143.10699588477365,80.00307692307693,8.51827356456986e-07,3434.071538443601,85.1827356456986
70,108.5,4.9,6.5,0.7538461538461539,143.92857142857142,81.7923076923077,8.567176870748298e-07,3453.3399805942863,85.67176870748298
