Heater (V),Electron Gun Electrodes (V),Accelerating Voltage (V),Helmholtz Coils (V),Helmholtz Voltage Drop (V),Resistance (Ω),Right Radius (cm),Left Radius (cm)
6.32,300.1,300.1,7.72,8.81,6.5,5.3,5.0
6.32,300.3,300.3,8.29,9.05,6.5,5.1,4.9
6.32,300.3,300.3,7.73,9.41,6.5,4.8,5.0
6.32,300.3,300.3,7.14,9.11,6.5,5.1,5.2
6.32,300.3,301.0,7.24,9.42,6.5,5.0,4.9
6.32,300.3,300.3,8.01,10.35,6.5,4.8,4.7
6.32,300.3,300.3,6.93,11.44,6.5,4.1,4.2
6.32,300.3,301.6,9.00,9.38,6.5,4.9,4.8
6.32,300.1,300.1,6.000,9.85,6.5,4.7,4.6
6.32,300.1,300.1,6.28,9.47,6.5,5.0,4.9
