Heater (V),Electron Gun Electrodes (V),Accelerating Voltage (V),Helmholtz Coils (V),Helmholtz Voltage Drop (V),Resistance (Ω),Right Radius (cm),Left Radius (cm)
6.32,211.8,211,6.63,8.46,6.5,4.9,4.4
6.32,211.8,211.8,6.61,11.26,6.5,3.4,3.2
6.32,211.8,211.8,8.46,9.40,6.5,4,4
6.32,211.8,212.1,6.32,8.42,6.5,4.8,4.5
6.32,211.8,212.2,6.08,7.92,6.5,5,4.7
6.32,211.8,212.2,8.33,8.06,6.5,5.1,4.7
6.32,211.8,212.2,6.97,8.27,6.5,4.9,4.6
6.32,211.8,212.2,8.69,8.73,6.5,4.7,4.5
6.32,211.8,212.3,8.53,8.63,6.5,4.5,4.7
6.32,211.8,212.2,7.72,8.81,6.5,4.6,4.4
6.32,300.1,300.1,7.72,8.81,6.5,5.3,5.0
6.32,300.3,300.3,8.29,9.05,6.5,5.1,4.9
6.32,300.3,300.3,7.73,9.41,6.5,4.8,5.0
6.32,300.3,300.3,7.14,9.11,6.5,5.1,5.2
6.32,300.3,301.0,7.24,9.42,6.5,5.0,4.9
6.32,300.3,300.3,8.01,10.35,6.5,4.8,4.2
6.32,300.3,300.3,6.93,11.44,6.5,4.1,4.5
6.32,300.3,301.6,9.00,9.38,6.5,4.9,5.0
6.32,300.1,300.1,6.000,9.85,6.5,4.7,5.0
6.32,300.1,300.1,6.28,9.47,6.5,5.0,4.9
6.32,149.9,149.9,6.59,6.77,6.5,5.0,4.2
6.32,149.8,149.8,7.41,7.05,6.5,5,4.3
6.32,149.8,149.8,7.03,6.58,6.5,5.0,4.4
6.32,149.6,149.6,8.31,7.08,6.5,4.8,4.1
6.32,149.6,149.6,9.00,6.72,6.5,5.1,4.4
6.32,149.5,149.5,6.65,7.69,6.5,4.5,4.0
6.32,149.5,149.5,7.55,6.78,6.5,5.0,4.3
6.32,149.5,149.5,7.08,8.07,6.5,4.2,3.9
6.32,149.5,149.5,6.90,6.55,6.5,5.1,4.4
6.32,149.5,149.5,8.14,7.78,6.5,4.3,4.0
6.32,149.9,149.5,6.00,7.27,6.5,4.7,4.1
6.32,165.0,165.0,6.00,7.27,6.5,4.9,4.5
6.32,180.1,180.1,6.00,7.27,6.5,5.0,4.7
6.32,195.0,195.0,6.00,7.27,6.5,5.2,4.9
6.32,210.0,210.0,6.00,7.27,6.5,5.3,5.0
6.32,225.2,225.2,5.992,7.28,6.5,5.4,5.1
6.32,240.6,240.6,5.992,7.28,6.5,5.5,5.0
6.32,255.2,255.2,5.992,7.28,6.5,5.5,4.9
6.32,270.2,270.2,5.990,7.28,6.5,5.5,4.6
6.32,300.9,300.9,9.00,11.10,6.5,4.2,4.4
