,frequency(Hz),Vi(V),Vo(V),R1,R2,Phase(s),Gain,Log Gain,True Phase Shift,Log Frequency
14,11.92,1.28,4.3,1000000.0,90.3,0.0222,3.359375,-1.2664627168692126,0.022196354062057725,2.4782176616372036
10,39.0,5.1,10.2,1000000.0,90.3,0.0047,2.0,-2.9704144655697013,0.004699965392792016,3.6635616461296463
7,250.0,0.47,12.9,10000.0,100.0,0.0009599999999999999,27.4468085106383,-2.209211022216587,0.000959999705088163,5.521460917862246
6,430.0,0.45,7.8,10000.0,100.0,0.00057,17.333333333333332,-3.2111537787742903,0.000569999938269012,6.063785208687608
0,1425.0,2.5,13.2,10000.0,100.0,0.000168,5.279999999999999,-5.598000994984581,0.00016799999841945603,7.261927092702751
5,2337.0,3.45,11.9,10000.0,100.0,0.000109,3.4492753623188404,-6.518459165464643,0.00010899999956832368,7.756623334538858
1,4300.0,2.5,4.8,10000.0,100.0,5.9999999999999995e-05,1.92,-7.714045115641964,5.999999992799999e-05,8.366370301681654
2,10140.0,2.8,2.7,10000.0,100.0,2.3e-05,0.9642857142857144,-9.260610921316049,2.2999999995944332e-05,9.224243277145174
3,13300.0,2.16,1.6,10000.0,100.0,1.95e-05,0.7407407407407407,-9.795623906660182,1.9499999997528374e-05,9.495519314209846
4,24100.0,10.2,3.4,10000.0,100.0,1.05e-05,0.33333333333333337,-11.188579408146856,1.0499999999614125e-05,10.089967119478747
8,33000.0,10.6,2.5,10000.0,90.3,7.8e-06,0.2358490566037736,-11.848826109692483,7.799999999841816e-06,10.404262840448617
9,42700.0,10.6,1.8,10000.0,90.3,5.400000000000001e-06,0.169811320754717,-12.435021535432618,5.399999999947513e-06,10.661954199216716
13,86000.0,10.6,0.88,10000.0,90.3,2.85e-06,0.08301886792452831,-13.850789947863552,2.8499999999922833e-06,11.362102575235644
12,130000.0,10.4,0.68,10000.0,90.3,1.82e-06,0.06538461538461539,-14.502758016397031,1.8199999999979904e-06,11.77528972943772
11,186000.0,10.6,0.43,10000.0,90.3,1.24e-06,0.040566037735849055,-15.33832602410789,1.2399999999993645e-06,12.133501952695338
